id,rock,pop,painful,magnificent,sad,kyomu
1,1,1,0,0,0,0
2,1,1,1,1,1,1
3,1,1,0,0,0,0
4,1,0,0,0,0,0
5,1,1,0,0,0,0
6,1,0,0,0,0,0
7,1,0,1,1,1,1
8,1,0,0,0,0,0
9,1,0,1,1,0,1
10,1,1,0,1,0,0
11,1,1,0,0,0,0
12,1,1,1,0,1,0
13,1,1,1,1,1,0
14,1,1,1,1,1,0
15,1,1,1,0,0,0
16,1,0,1,0,1,1
17,1,1,0,0,0,0
18,1,1,0,0,0,0
19,1,1,0,0,0,0
20,1,0,1,0,1,0
21,1,0,0,0,0,0
22,1,0,1,1,1,1
23,1,0,0,0,0,0
24,1,1,0,0,0,0
25,1,0,1,1,0,0
26,1,0,0,1,0,0
27,0,1,1,1,1,1
28,1,0,0,0,1,1
29,1,0,1,1,1,1
30,1,0,0,0,1,0
31,0,1,1,0,0,1
32,1,0,0,0,0,0
33,0,1,1,1,1,1
