id,artist_name,music_name,release
1,BiSH,プロミスザスター,2017
2,BiSH,オーケストラ,2016
3,BiSH,My Landscape,2017
4,BiSH,BiSH-星が瞬く夜に-,2015
5,BiSH,beautifulさ,2016
6,BiSH,PAiNT iT BLACK,2018
7,BiSH,DiSTANCE,2019
8,BiSH,NON TiE-UP,2018
9,BiSH,stereo future,2018
10,BiSH,STACKiNG,2021
11,BiSH,I have no idea.,2021
12,BiSH,CAN WE STiLL BE??,2021
13,BiSH,サラバかな,2015
14,BiSH,HiDE the BLUE,2018
15,BiSH,ALL YOU NEED IS LOVE,2016
16,PEDRO,浪漫,2020
17,PEDRO,感傷謳歌,2020
18,PEDRO,自律神経出張中,2018
19,PEDRO,NIGHT NIGHT,2019
20,PEDRO,生活革命,2020
21,PEDRO,東京,2021
22,PEDRO,雪の街,2021
23,PEDRO,いっそ僕の知らない世界の道端でのたれ死んでください,2021
24,PEDRO,ラブというソング,2019
25,TK from 凛として時雨,蝶の飛ぶ水槽,2020
26,TK from 凛として時雨,yesworld,2021
27,TK from 凛として時雨,White Silence,2012
28,TK from 凛として時雨,unravel,2014
29,TK from 凛として時雨,invalid phrase,2016
30,TK from 凛として時雨,Dramatic Slow Motion,2014
31,TK from 凛として時雨,like there is tomorrow,2016
32,TK from 凛として時雨,katharsis,2018
33,TK from 凛として時雨,copy light,2020
